FIFO,Count,Head,Tail,Valid
East,0,0,1,False
Local,3,0,1,False
East,1,0,2,False
Local,3,0,1,False
East,0,1,2,False
Local,2,1,2,False
East,0,1,2,False
Local,2,1,2,False
East,0,1,2,False
Local,3,1,3,False
East,1,1,3,False
Local,3,1,3,False
East,0,2,3,False
Local,3,1,3,False
East,0,2,3,False
Local,2,2,3,False
East,0,2,3,False
Local,3,2,0,False
East,0,2,3,False
Local,3,2,0,False
East,0,2,3,False
Local,3,2,0,False
East,0,2,3,False
Local,3,2,0,False
East,0,2,3,False
Local,1,0,2,False
East,1,2,0,False
Local,1,0,2,False
East,1,2,0,False
Local,2,0,3,False
East,1,2,0,False
Local,2,0,3,False
East,1,2,0,False
Local,1,1,3,False
Local,2,2,1,False
East,0,3,0,False
Local,2,1,0,False
Local,2,2,1,False
East,0,3,0,False
Local,2,1,0,False
Local,2,2,1,False
Local,2,3,2,False
East,0,3,0,False
Local,3,1,1,False
Local,2,2,1,False
Local,2,3,2,False
East,0,3,0,False
Local,2,2,1,False
Local,1,3,2,False
Local,3,3,3,False
East,1,3,1,False
Local,3,2,2,False
Local,1,3,2,False
Local,3,3,3,False
East,1,3,1,False
Local,3,2,2,False
Local,2,3,3,False
Local,4,3,0,False
East,1,3,1,False
Local,2,3,3,False
Local,2,3,3,False
Local,4,3,0,False
East,1,3,1,False
Local,2,3,3,False
Local,3,3,0,False
Local,4,3,0,False
East,0,0,2,False
Local,2,3,3,False
Local,3,3,0,False
Local,4,3,0,False
East,0,0,2,False
Local,3,3,0,False
Local,3,3,0,False
Local,4,3,0,False
East,0,0,2,False
Local,2,0,0,False
Local,4,3,1,False
Local,4,3,0,False
East,0,0,2,False
Local,1,1,1,False
Local,3,0,1,False
Local,4,3,0,False
East,1,0,3,False
Local,1,1,1,False
Local,3,0,1,False
Local,4,3,0,False
East,0,1,3,False
Local,1,1,1,False
Local,4,0,2,False
Local,4,3,0,False
East,0,1,3,False
Local,4,0,2,False
Local,4,3,0,False
East,0,1,3,False
Local,3,1,2,False
Local,4,3,0,False
East,0,1,3,False
Local,3,1,2,False
Local,4,3,0,False
East,0,1,3,False
Local,3,1,2,False
Local,4,3,0,False
East,0,1,3,False
Local,4,1,3,False
Local,4,3,0,False
East,0,1,3,False
Local,3,2,3,False
Local,4,3,0,False
East,1,1,0,False
Local,3,2,3,False
Local,4,3,0,False
East,1,1,0,False
Local,3,2,3,False
Local,4,3,0,False
East,1,1,0,False
Local,3,2,3,False
Local,4,3,0,False
East,0,2,0,False
Local,2,3,3,False
Local,4,3,0,False
East,0,2,0,False
Local,2,3,3,False
Local,4,3,0,False
East,0,2,0,False
Local,3,3,0,False
Local,3,0,0,False
East,0,2,0,False
Local,3,3,0,False
Local,3,0,0,False
East,0,2,0,False
Local,2,0,0,False
Local,4,0,1,False
East,0,2,0,False
Local,3,0,1,False
Local,4,0,1,False
East,0,2,0,False
Local,3,0,1,False
Local,4,0,1,False
East,1,2,1,False
Local,4,0,2,False
Local,4,0,1,False
East,1,2,1,False
Local,4,0,2,False
Local,4,0,1,False
East,1,2,1,False
Local,4,0,2,False
Local,4,0,1,False
East,1,2,1,False
Local,4,0,2,False
Local,3,1,1,False
East,2,2,2,False
Local,4,0,2,False
Local,3,1,1,False
East,2,2,2,False
Local,4,0,2,False
Local,3,1,1,False
East,2,2,2,False
Local,4,0,2,False
Local,2,2,2,False
East,2,2,2,False
Local,4,0,2,False
Local,2,2,2,False
East,2,2,2,False
Local,4,0,2,False
Local,2,2,2,False
East,2,2,2,False
Local,4,0,2,False
Local,2,2,2,False
East,2,2,2,False
Local,4,0,2,False
Local,1,3,2,False
East,2,2,2,False
Local,4,0,2,False
Local,0,0,3,False
East,3,2,3,False
Local,4,0,2,False
Local,0,0,3,False
East,2,3,3,False
Local,1,0,2,False
Local,4,0,2,False
Local,0,0,3,False
East,1,0,3,False
Local,1,0,2,False
Local,4,0,2,False
Local,0,0,3,False
East,1,0,3,False
Local,2,0,3,False
Local,4,0,2,False
Local,1,0,0,False
East,1,0,3,False
Local,2,0,3,False
Local,4,0,2,False
Local,1,0,0,False
East,1,0,3,False
Local,1,1,0,False
Local,4,0,2,False
Local,1,0,0,False
East,0,1,3,False
Local,1,1,0,False
Local,4,0,2,False
Local,1,0,0,False
East,0,1,3,False
Local,2,1,1,False
Local,4,0,2,False
Local,0,1,0,False
East,0,1,3,False
Local,2,1,1,False
Local,4,0,2,False
Local,1,1,1,False
East,0,1,3,False
Local,1,2,2,False
Local,3,1,2,False
Local,1,1,1,False
East,1,1,0,False
Local,1,2,2,False
Local,3,1,2,False
Local,1,1,1,False
East,0,2,0,False
Local,2,2,3,False
Local,3,1,2,False
Local,0,2,1,False
East,0,2,0,False
Local,2,2,3,False
Local,3,1,2,False
Local,1,2,2,False
East,0,2,0,False
Local,3,1,2,False
Local,1,2,2,False
East,1,2,1,False
Local,4,1,3,False
Local,1,2,2,False
East,0,3,1,False
Local,4,1,3,False
East,0,3,1,False
Local,4,1,3,False
East,0,3,1,False
Local,4,1,3,False
East,1,3,2,False
Local,4,1,3,False
East,1,3,2,False
Local,3,2,3,False
East,1,3,2,False
Local,3,2,3,False
Local,2,1,0,False
East,0,0,2,False
Local,4,2,0,False
Local,2,1,0,False
East,1,0,3,False
Local,4,2,0,False
Local,2,1,0,False
East,0,1,3,False
Local,4,2,0,False
Local,3,1,1,False
East,0,1,3,False
Local,4,2,0,False
Local,2,2,1,False
East,0,1,3,False
Local,4,2,0,False
Local,3,2,2,False
East,0,1,3,False
Local,4,2,0,False
Local,3,2,2,False
East,0,1,3,False
Local,3,3,0,False
Local,3,2,2,False
East,0,1,3,False
Local,3,3,0,False
Local,2,3,3,False
East,0,1,3,False
Local,4,3,1,False
Local,2,3,3,False
East,0,1,3,False
Local,4,3,1,False
Local,2,3,3,False
East,0,1,3,False
Local,4,3,1,False
Local,3,3,0,False
East,0,1,3,False
Local,4,3,1,False
Local,2,0,0,False
East,0,1,3,False
Local,4,3,1,False
Local,3,0,1,False
East,1,1,0,False
Local,4,3,1,False
Local,3,0,1,False
East,1,1,0,False
Local,3,0,1,False
Local,3,0,1,False
East,1,1,0,False
Local,3,0,1,False
Local,4,0,2,False
East,0,2,0,False
Local,3,0,1,False
Local,4,0,2,False
East,1,2,1,False
Local,3,0,1,False
Local,4,0,2,False
East,1,2,1,False
Local,3,0,1,False
Local,4,0,2,False
East,1,2,1,False
Local,4,0,2,False
Local,4,0,2,False
East,0,3,1,False
Local,2,2,1,False
Local,4,0,2,False
Local,4,0,2,False
East,1,3,2,False
Local,2,2,1,False
Local,4,0,2,False
Local,4,0,2,False
East,1,3,2,False
Local,2,2,1,False
Local,4,0,2,False
Local,4,0,2,False
East,1,3,2,False
Local,3,2,2,False
Local,4,0,2,False
Local,4,0,2,False
East,0,0,2,False
Local,2,3,2,False
Local,4,0,2,False
Local,4,0,2,False
East,1,0,3,False
Local,3,3,3,False
Local,4,0,2,False
Local,4,0,2,False
East,1,0,3,False
Local,3,3,3,False
Local,4,0,2,False
Local,4,0,2,False
East,1,0,3,False
Local,3,3,3,False
Local,4,0,2,False
Local,4,0,2,False
East,0,1,3,False
Local,2,0,0,False
Local,4,0,2,False
Local,4,0,2,False
East,1,1,0,False
Local,2,0,0,False
Local,4,0,2,False
Local,4,0,2,False
East,1,1,0,False
Local,2,0,0,False
Local,4,0,2,False
Local,4,0,2,False
East,1,1,0,False
Local,3,0,1,False
Local,4,0,2,False
Local,4,0,2,False
East,0,2,0,False
Local,2,1,1,False
Local,4,0,2,False
Local,4,0,2,False
East,1,2,1,False
Local,2,1,1,False
Local,4,0,2,False
Local,0,0,1,False
Local,4,0,2,False
East,1,2,1,False
Local,2,1,1,False
Local,4,0,2,False
Local,0,0,1,False
Local,4,0,2,False
East,1,2,1,False
Local,2,1,1,False
Local,4,0,2,False
Local,0,0,1,False
Local,4,0,2,False
East,0,3,1,False
Local,1,2,1,False
Local,4,0,2,False
Local,0,0,1,False
Local,4,0,2,False
East,1,3,2,False
Local,2,2,2,False
Local,4,0,2,False
Local,1,0,2,False
Local,4,0,2,False
East,0,0,2,False
Local,2,2,2,False
Local,4,0,2,False
Local,1,0,2,False
Local,4,0,2,False
East,0,0,2,False
Local,1,3,2,False
Local,3,1,2,False
Local,1,0,2,False
Local,3,1,2,False
East,0,0,2,False
Local,1,3,2,False
Local,3,1,2,False
Local,0,1,2,False
Local,3,1,2,False
East,1,0,3,False
Local,2,3,3,False
Local,3,1,2,False
Local,0,1,2,False
Local,4,1,3,False
East,0,1,3,False
Local,2,3,3,False
Local,3,1,2,False
Local,0,1,2,False
Local,4,1,3,False
East,0,1,3,False
Local,3,3,0,False
Local,3,1,2,False
Local,0,1,2,False
Local,3,2,3,False
East,0,1,3,False
Local,3,3,0,False
Local,2,2,2,False
Local,0,1,2,False
Local,3,2,3,False
East,1,1,0,False
Local,3,3,0,False
Local,3,2,3,False
Local,1,1,3,False
Local,3,2,3,False
East,1,1,0,False
Local,2,0,0,False
Local,3,2,3,False
Local,1,1,3,False
Local,3,2,3,False
East,1,1,0,False
Local,2,0,0,False
Local,4,2,0,False
Local,2,1,0,False
Local,2,3,0,False
East,1,1,0,False
Local,2,0,0,False
Local,4,2,0,False
Local,1,2,0,False
Local,2,3,0,False
East,1,1,0,False
Local,1,1,1,False
Local,4,2,0,False
Local,2,2,1,False
Local,2,3,0,False
East,1,1,0,False
Local,1,1,1,False
Local,4,2,0,False
Local,2,2,1,False
Local,2,3,0,False
East,1,1,0,False
Local,2,1,2,False
Local,4,2,0,False
Local,2,2,1,False
Local,3,3,1,False
East,0,2,0,False
Local,2,1,2,False
Local,4,2,0,False
Local,1,3,2,False
Local,2,0,1,False
East,0,2,0,False
Local,2,1,2,False
Local,4,2,0,False
Local,1,3,2,False
Local,2,0,1,False
East,0,2,0,False
Local,3,1,3,False
Local,4,2,0,False
Local,1,3,2,False
Local,2,0,1,False
East,0,2,0,False
Local,3,1,3,False
Local,4,2,0,False
Local,0,0,3,False
Local,1,1,1,False
East,0,2,0,False
Local,4,1,0,False
Local,3,3,0,False
Local,0,0,3,False
Local,1,1,1,False
East,0,2,0,False
Local,3,2,0,False
Local,3,3,0,False
Local,0,0,3,False
Local,1,1,1,False
East,1,2,1,False
Local,3,2,0,False
Local,4,3,1,False
Local,0,0,3,False
Local,2,1,2,False
East,0,3,1,False
Local,3,2,0,False
Local,4,3,1,False
Local,1,0,0,False
Local,2,1,2,False
East,0,3,1,False
Local,3,2,0,False
Local,4,3,1,False
Local,1,0,0,False
Local,2,1,2,False
East,0,3,1,False
Local,2,3,0,False
Local,4,3,1,False
Local,1,0,0,False
Local,3,1,3,False
East,0,3,1,False
Local,2,3,0,False
Local,4,3,1,False
Local,3,1,3,False
East,0,3,1,False
Local,2,3,0,False
Local,3,0,1,False
Local,4,1,0,False
East,0,3,1,False
Local,3,0,1,False
Local,3,2,0,False
East,0,3,1,False
Local,3,0,1,False
Local,3,2,0,False
East,1,3,2,False
Local,3,0,1,False
Local,3,2,0,False
East,1,3,2,False
Local,3,0,1,False
East,1,3,2,False
Local,3,0,1,False
East,1,3,2,False
Local,3,0,1,False
East,2,3,3,False
Local,3,0,1,False
East,2,3,3,False
Local,3,0,1,False
East,1,0,3,False
Local,1,2,0,False
Local,4,0,2,False
East,0,1,3,False
Local,1,2,0,False
Local,4,0,2,False
East,0,1,3,False
Local,1,2,0,False
Local,4,0,2,False
East,0,1,3,False
Local,1,2,0,False
Local,3,1,2,False
East,0,1,3,False
Local,1,2,0,False
Local,3,1,2,False
East,0,1,3,False
Local,0,3,1,False
Local,3,1,2,False
East,1,1,0,False
Local,0,3,1,False
Local,3,1,2,False
East,1,1,0,False
Local,1,3,2,False
Local,2,2,2,False
East,1,1,0,False
Local,1,3,2,False
Local,2,2,2,False
East,1,1,0,False
Local,1,3,2,False
Local,3,2,3,False
East,1,1,0,False
Local,1,3,2,False
Local,2,3,3,False
East,1,1,0,False
Local,1,3,2,False
Local,2,3,3,False
East,0,2,0,False
Local,2,3,3,False
Local,2,3,3,False
East,0,2,0,False
Local,1,0,3,False
Local,2,3,3,False
East,1,2,1,False
Local,1,0,3,False
Local,2,3,3,False
Local,0,1,2,False
East,0,3,1,False
Local,1,0,3,False
Local,1,0,3,False
Local,0,1,2,False
East,0,3,1,False
Local,1,0,3,False
Local,1,0,3,False
Local,0,1,2,False
East,0,3,1,False
Local,0,1,3,False
Local,1,0,3,False
Local,1,1,3,False
East,0,3,1,False
Local,1,1,0,False
Local,1,0,3,False
Local,1,1,3,False
East,0,3,1,False
Local,1,1,0,False
Local,0,1,3,False
Local,2,1,0,False
East,0,3,1,False
Local,2,1,1,False
Local,0,1,3,False
Local,1,2,0,False
East,0,3,1,False
Local,1,2,1,False
Local,0,1,3,False
Local,2,2,1,False
East,1,3,2,False
Local,1,2,1,False
Local,1,1,0,False
Local,2,2,1,False
East,1,3,2,False
Local,2,2,2,False
Local,0,2,0,False
Local,1,3,2,False
East,1,3,2,False
Local,2,2,2,False
Local,0,2,0,False
Local,1,3,2,False
East,1,3,2,False
Local,1,3,3,False
Local,0,2,0,False
Local,1,3,2,False
East,2,3,3,False
Local,1,3,3,False
Local,1,2,1,False
Local,1,3,2,False
East,2,3,3,False
Local,1,3,3,False
Local,1,2,1,False
Local,2,3,3,False
East,2,3,3,False
Local,2,3,0,False
Local,1,2,1,False
Local,1,0,3,False
East,2,3,3,False
Local,2,3,0,False
Local,0,3,1,False
Local,1,0,3,False
East,3,3,0,False
Local,2,3,0,False
Local,1,3,2,False
Local,1,0,3,False
East,3,3,0,False
Local,2,3,0,False
Local,1,3,2,False
Local,1,0,3,False
East,2,0,0,False
Local,2,3,0,False
Local,1,3,2,False
Local,2,0,0,False
East,1,1,0,False
Local,1,0,0,False
Local,0,0,2,False
Local,2,0,0,False
East,0,2,0,False
Local,1,0,0,False
Local,0,0,2,False
Local,2,0,0,False
East,0,2,0,False
Local,2,0,1,False
Local,0,0,2,False
Local,2,0,0,False
East,0,2,0,False
Local,2,0,1,False
Local,1,0,3,False
Local,1,1,0,False
East,0,2,0,False
Local,2,0,1,False
Local,1,0,3,False
Local,1,1,0,False
East,0,2,0,False
Local,2,0,1,False
Local,1,0,3,False
Local,1,1,0,False
East,0,2,0,False
Local,2,0,1,False
Local,2,0,0,False
Local,0,2,0,False
East,0,2,0,False
Local,2,0,1,False
Local,2,0,0,False
Local,1,2,1,False
East,0,2,0,False
Local,1,1,1,False
Local,2,0,0,False
Local,1,2,1,False
East,0,2,0,False
Local,1,1,1,False
Local,2,0,0,False
Local,1,2,1,False
East,0,2,0,False
Local,2,1,2,False
Local,1,1,1,False
Local,2,2,2,False
East,0,2,0,False
Local,2,1,2,False
Local,1,1,1,False
Local,2,2,2,False
East,0,2,0,False
Local,1,2,2,False
Local,1,1,1,False
Local,3,2,3,False
East,0,2,0,False
Local,1,2,2,False
Local,2,1,2,False
Local,3,2,3,False
East,0,2,0,False
Local,1,2,2,False
Local,2,1,2,False
Local,3,2,3,False
East,0,2,0,False
Local,1,2,2,False
Local,2,1,2,False
Local,2,3,0,False
East,0,2,0,False
Local,2,1,2,False
Local,2,3,0,False
East,0,2,0,False
Local,2,1,2,False
Local,2,3,0,False
East,0,2,0,False
Local,3,1,3,False
Local,3,3,1,False
East,0,2,0,False
Local,3,1,3,False
Local,2,0,1,False
West,2,0,3,False
East,0,2,0,False
Local,4,1,0,False
Local,3,0,2,False
West,2,0,3,False
East,1,2,1,False
Local,4,1,0,False
Local,3,0,2,False
West,2,0,3,False
East,0,3,1,False
Local,4,1,0,False
Local,4,0,3,False
West,2,0,3,False
East,0,3,1,False
Local,4,1,0,False
Local,3,1,3,False
West,1,1,3,False
East,0,3,1,False
Local,4,1,0,False
Local,3,1,3,False
West,1,1,3,False
East,0,3,1,False
Local,4,1,0,False
Local,3,1,3,False
West,1,1,3,False
East,0,3,1,False
Local,4,1,0,False
Local,4,1,0,False
West,1,1,3,False
Local,2,1,0,False
East,0,3,1,False
Local,4,1,0,False
Local,3,2,0,False
West,0,2,3,False
Local,2,1,0,False
East,0,3,1,False
Local,4,1,0,False
Local,3,2,0,False
West,0,2,3,False
Local,2,1,0,False
East,0,3,1,False
Local,4,1,0,False
Local,3,2,0,False
West,0,2,3,False
Local,2,1,0,False
East,0,3,1,False
Local,4,1,0,False
Local,4,2,1,False
West,0,2,3,False
Local,2,1,0,False
East,0,3,1,False
Local,4,1,0,False
Local,3,3,1,False
West,0,2,3,False
Local,3,1,1,False
East,0,3,1,False
Local,4,1,0,False
Local,3,3,1,False
West,0,2,3,False
Local,3,1,1,False
East,1,3,2,False
Local,4,1,0,False
Local,4,3,2,False
West,0,2,3,False
Local,4,1,2,False
East,1,3,2,False
Local,4,1,0,False
Local,4,3,2,False
West,0,2,3,False
Local,4,1,2,False
East,1,3,2,False
Local,4,1,0,False
Local,3,0,2,False
West,0,2,3,False
Local,4,1,2,False
East,0,0,2,False
Local,4,1,0,False
Local,3,0,2,False
West,0,2,3,False
Local,4,1,2,False
East,1,0,3,False
Local,4,1,0,False
Local,4,0,3,False
West,0,2,3,False
Local,4,1,2,False
East,1,0,3,False
Local,4,1,0,False
Local,4,0,3,False
West,0,2,3,False
Local,4,1,2,False
East,1,0,3,False
Local,4,1,0,False
Local,3,1,3,False
West,0,2,3,False
Local,3,2,2,False
East,0,1,3,False
Local,4,1,0,False
Local,3,1,3,False
West,0,2,3,False
Local,3,2,2,False
East,1,1,0,False
Local,4,1,0,False
Local,4,1,0,False
West,0,2,3,False
Local,3,2,2,False
East,0,2,0,False
Local,4,1,0,False
Local,4,1,0,False
West,0,2,3,False
Local,3,2,2,False
East,0,2,0,False
Local,4,1,0,False
Local,3,2,0,False
West,0,2,3,False
Local,3,2,2,False
East,0,2,0,False
Local,0,0,1,False
Local,4,1,0,False
Local,3,2,0,False
West,0,2,3,False
Local,4,2,3,False
East,1,2,1,False
Local,0,0,1,False
Local,4,1,0,False
Local,3,2,0,False
West,0,2,3,False
Local,4,2,3,False
East,0,3,1,False
Local,0,0,1,False
Local,4,1,0,False
Local,2,3,0,False
West,0,2,3,False
Local,4,2,3,False
East,0,3,1,False
Local,1,0,2,False
Local,3,2,0,False
Local,2,3,0,False
West,0,2,3,False
Local,3,3,3,False
East,0,3,1,False
Local,1,0,2,False
Local,3,2,0,False
East,1,1,3,False
Local,2,3,0,False
West,0,2,3,False
Local,3,3,3,False
East,0,3,1,False
Local,2,0,3,False
Local,3,2,0,False
East,0,2,3,False
Local,2,3,0,False
West,0,2,3,False
Local,3,3,3,False
East,0,3,1,False
Local,2,0,3,False
Local,4,2,1,False
East,0,2,3,False
Local,2,3,0,False
West,0,2,3,False
Local,3,3,3,False
East,0,3,1,False
Local,1,1,0,False
Local,3,3,1,False
East,0,2,3,False
Local,2,3,0,False
West,0,2,3,False
Local,2,0,0,False
East,0,3,1,False
Local,1,1,0,False
Local,3,3,1,False
East,1,2,0,False
Local,3,3,1,False
West,0,2,3,False
Local,2,0,0,False
East,1,3,2,False
Local,1,1,0,False
Local,3,3,1,False
East,0,3,0,False
Local,3,3,1,False
West,0,2,3,False
Local,2,0,0,False
East,0,0,2,False
Local,2,1,1,False
Local,3,3,1,False
East,0,3,0,False
Local,4,3,2,False
West,0,2,3,False
Local,1,1,0,False
East,0,0,2,False
Local,1,2,1,False
East,0,3,0,False
Local,4,3,2,False
West,0,2,3,False
Local,2,1,1,False
East,0,0,2,False
Local,2,2,2,False
East,0,3,0,False
Local,4,3,2,False
West,1,2,0,False
Local,2,1,1,False
East,0,0,2,False
Local,2,2,2,False
East,0,3,0,False
Local,4,3,2,False
West,0,3,0,False
Local,2,1,1,False
East,0,0,2,False
Local,3,2,3,False
East,0,3,0,False
Local,4,3,2,False
West,0,3,0,False
Local,1,2,1,False
East,0,0,2,False
Local,3,2,3,False
East,0,3,0,False
Local,4,3,2,False
West,0,3,0,False
Local,1,2,1,False
East,0,0,2,False
Local,3,2,3,False
East,0,3,0,False
Local,4,3,2,False
West,1,3,1,False
Local,1,2,1,False
East,0,0,2,False
Local,3,2,3,False
East,0,3,0,False
Local,4,3,2,False
West,1,3,1,False
Local,1,2,1,False
East,0,0,2,False
Local,3,2,3,False
Local,1,2,0,False
East,0,3,0,False
Local,4,3,2,False
West,1,3,1,False
Local,1,2,1,False
East,0,0,2,False
Local,2,3,3,False
Local,1,2,0,False
East,0,3,0,False
Local,4,3,2,False
West,1,3,1,False
Local,1,2,1,False
East,0,0,2,False
Local,2,3,3,False
Local,1,2,0,False
East,0,3,0,False
Local,4,3,2,False
West,1,3,1,False
Local,1,2,1,False
East,0,0,2,False
Local,2,3,3,False
Local,2,2,1,False
East,0,3,0,False
Local,4,3,2,False
West,1,3,1,False
Local,1,2,1,False
East,0,0,2,False
Local,2,3,3,False
Local,1,3,1,False
East,0,3,0,False
Local,3,0,2,False
West,1,3,1,False
Local,1,2,1,False
East,0,0,2,False
Local,1,0,3,False
Local,2,3,2,False
East,0,3,0,False
Local,3,0,2,False
West,2,3,2,False
Local,2,2,2,False
East,0,0,2,False
Local,1,0,3,False
Local,2,3,2,False
East,0,3,0,False
Local,3,0,2,False
West,2,3,2,False
Local,2,2,2,False
East,0,0,2,False
Local,1,0,3,False
Local,3,3,3,False
East,0,3,0,False
Local,4,0,3,False
West,2,3,2,False
Local,2,2,2,False
East,0,0,2,False
Local,2,0,0,False
Local,3,3,3,False
East,0,3,0,False
Local,3,1,3,False
West,2,3,2,False
Local,2,2,2,False
East,0,0,2,False
Local,1,1,0,False
Local,3,3,3,False
East,0,3,0,False
Local,3,1,3,False
West,3,3,3,False
Local,2,2,2,False
East,1,0,3,False
Local,1,1,0,False
Local,3,3,3,False
East,0,3,0,False
Local,3,1,3,False
West,3,3,3,False
Local,3,2,3,False
East,1,0,3,False
Local,1,1,0,False
Local,4,3,0,False
East,0,3,0,False
Local,3,1,3,False
West,3,3,3,False
Local,3,2,3,False
East,1,0,3,False
Local,2,1,1,False
Local,3,0,0,False
East,0,3,0,False
Local,2,2,3,False
West,3,3,3,False
Local,3,2,3,False
East,0,1,3,False
Local,1,2,1,False
Local,3,0,0,False
East,0,3,0,False
Local,3,2,0,False
West,4,3,0,False
Local,3,2,3,False
East,1,1,0,False
Local,2,2,2,False
Local,4,0,1,False
East,0,3,0,False
Local,3,2,0,False
West,4,3,0,False
Local,3,2,3,False
East,1,1,0,False
Local,2,2,2,False
Local,4,0,1,False
East,0,3,0,False
Local,3,2,0,False
West,4,3,0,False
Local,3,2,3,False
East,1,1,0,False
Local,3,2,3,False
Local,4,0,1,False
East,0,3,0,False
West,3,0,0,False
Local,3,2,3,False
East,0,2,0,False
Local,3,2,3,False
Local,4,0,1,False
East,1,3,1,False
West,2,1,0,False
Local,3,2,3,False
East,1,2,1,False
Local,3,2,3,False
Local,4,0,1,False
East,0,0,1,False
West,2,1,0,False
Local,3,2,3,False
East,1,2,1,False
Local,4,2,0,False
Local,4,0,1,False
East,0,0,1,False
West,2,1,0,False
Local,4,2,0,False
East,1,2,1,False
Local,4,2,0,False
Local,4,0,1,False
East,0,0,1,False
Local,1,0,2,False
West,2,1,0,False
Local,3,3,0,False
East,0,3,1,False
Local,3,3,0,False
Local,4,0,1,False
East,0,0,1,False
Local,1,0,2,False
West,3,1,1,False
Local,3,3,0,False
East,1,3,2,False
Local,3,3,0,False
Local,4,0,1,False
East,0,0,1,False
Local,1,0,2,False
West,3,1,1,False
Local,4,3,1,False
East,0,0,2,False
Local,4,3,1,False
Local,4,0,1,False
East,0,0,1,False
Local,1,0,2,False
West,3,1,1,False
Local,4,3,1,False
East,0,0,2,False
Local,4,3,1,False
Local,3,1,1,False
East,0,0,1,False
Local,0,1,2,False
West,3,1,1,False
Local,3,0,1,False
East,0,0,2,False
Local,3,0,1,False
Local,3,1,1,False
East,1,0,2,False
Local,0,1,2,False
West,3,1,1,False
Local,3,0,1,False
East,0,0,2,False
Local,3,0,1,False
Local,3,1,1,False
East,0,1,2,False
Local,1,1,3,False
West,3,1,1,False
Local,3,0,1,False
East,0,0,2,False
Local,3,0,1,False
Local,3,1,1,False
East,0,1,2,False
Local,1,1,3,False
West,3,1,1,False
Local,3,0,1,False
East,0,0,2,False
Local,3,0,1,False
Local,2,2,1,False
East,0,1,2,False
Local,2,1,0,False
West,2,2,1,False
Local,4,0,2,False
East,0,0,2,False
Local,2,1,1,False
Local,3,2,2,False
East,1,1,3,False
Local,2,1,0,False
West,2,2,1,False
Local,4,0,2,False
East,0,0,2,False
Local,2,1,1,False
Local,3,2,2,False
East,0,2,3,False
Local,2,1,0,False
West,2,2,1,False
Local,4,0,2,False
East,0,0,2,False
Local,3,1,2,False
Local,2,3,2,False
East,0,2,3,False
Local,2,1,0,False
West,2,2,1,False
Local,4,0,2,False
East,0,0,2,False
Local,3,1,2,False
